ed,candidacy_id,name,first_choice,final_round,is_major
28026,218127,Raymond J. McGuire,4,0,True
28026,218491,Dianne Morales,4,0,True
28026,221183,Shaun Donovan,3,0,True
28027,217796,Andrew Yang,22,0,True
28027,217572,Eric L. Adams,17,27,True
28027,217605,Scott M. Stringer,13,0,True
28027,219978,Kathryn A. Garcia,34,76,True
28027,219469,Maya D. Wiley,25,0,True
28027,218127,Raymond J. McGuire,3,0,True
28027,221141,Art Chang,2,0,False
28027,217654,Aaron S. Foldenauer,1,0,False
28027,218491,Dianne Morales,4,0,True
28027,221183,Shaun Donovan,0,0,True
28028,217796,Andrew Yang,52,0,True
28028,217572,Eric L. Adams,43,77,True
28028,217605,Scott M. Stringer,25,0,True
28028,219978,Kathryn A. Garcia,110,188,True
28028,219469,Maya D. Wiley,48,0,True
28028,218127,Raymond J. McGuire,7,0,True
28028,221141,Art Chang,2,0,False
28028,217654,Aaron S. Foldenauer,1,0,False
28028,218491,Dianne Morales,1,0,True
28028,221183,Shaun Donovan,7,0,True
28029,217796,Andrew Yang,53,0,True
28029,217572,Eric L. Adams,30,51,True
28029,217605,Scott M. Stringer,26,0,True
28029,218117,Paperboy Love Prince,3,0,False
28029,219978,Kathryn A. Garcia,108,188,True
28029,219469,Maya D. Wiley,35,0,True
28029,218127,Raymond J. McGuire,8,0,True
28029,221141,Art Chang,5,0,False
28029,218491,Dianne Morales,3,0,True
28029,221183,Shaun Donovan,4,0,True
28030,217796,Andrew Yang,66,0,True
28030,217605,Scott M. Stringer,17,0,True
28030,218117,Paperboy Love Prince,1,0,False
28030,219978,Kathryn A. Garcia,70,139,True
28030,219469,Maya D. Wiley,33,0,True
28030,218127,Raymond J. McGuire,9,0,True
28030,221141,Art Chang,2,0,False
28030,217572,Eric L. Adams,43,70,True
28030,217654,Aaron S. Foldenauer,1,0,False
28030,218491,Dianne Morales,2,0,True
28030,221183,Shaun Donovan,3,0,True
28031,217796,Andrew Yang,71,0,True
28031,217572,Eric L. Adams,58,90,True
28031,217605,Scott M. Stringer,38,0,True
28031,218117,Paperboy Love Prince,3,0,False
28031,219978,Kathryn A. Garcia,113,215,True
28031,219469,Maya D. Wiley,42,0,True
28031,218127,Raymond J. McGuire,8,0,True
28031,221141,Art Chang,1,0,False
28031,218491,Dianne Morales,3,0,True
28031,221183,Shaun Donovan,12,0,True
28032,217796,Andrew Yang,36,0,True
28032,217572,Eric L. Adams,28,42,True
28032,217605,Scott M. Stringer,14,0,True
28032,219978,Kathryn A. Garcia,59,98,True
28032,219469,Maya D. Wiley,12,0,True
28032,218127,Raymond J. McGuire,2,0,True
28032,221141,Art Chang,2,0,False
28032,217654,Aaron S. Foldenauer,1,0,False
28032,218491,Dianne Morales,4,0,True
28032,221183,Shaun Donovan,2,0,True
28033,217796,Andrew Yang,0,0,True
28033,217605,Scott M. Stringer,1,0,True
28033,217572,Eric L. Adams,0,0,True
28033,219978,Kathryn A. Garcia,0,1,True
28033,219469,Maya D. Wiley,0,0,True
28033,218127,Raymond J. McGuire,0,0,True
28033,218491,Dianne Morales,0,0,True
28033,221183,Shaun Donovan,0,0,True
28034,217796,Andrew Yang,11,0,True
28034,217572,Eric L. Adams,5,10,True
28034,217605,Scott M. Stringer,5,0,True
28034,219978,Kathryn A. Garcia,12,21,True
28034,219469,Maya D. Wiley,2,0,True
28034,218127,Raymond J. McGuire,1,0,True
28034,218491,Dianne Morales,0,0,True
28034,221183,Shaun Donovan,2,0,True
28035,217796,Andrew Yang,45,0,True
28035,217605,Scott M. Stringer,33,0,True
28035,219978,Kathryn A. Garcia,107,185,True
28035,219469,Maya D. Wiley,34,0,True
28035,218127,Raymond J. McGuire,5,0,True
28035,221141,Art Chang,1,0,False
28035,217572,Eric L. Adams,56,74,True
28035,218922,Joycelyn Taylor,1,0,False
28035,217654,Aaron S. Foldenauer,2,0,False
28035,218491,Dianne Morales,5,0,True
28035,221183,Shaun Donovan,10,0,True
28036,217796,Andrew Yang,40,0,True
28036,217605,Scott M. Stringer,38,0,True
28036,217572,Eric L. Adams,34,64,True
28036,219978,Kathryn A. Garcia,130,227,True
28036,219469,Maya D. Wiley,68,0,True
28036,218127,Raymond J. McGuire,4,0,True
28036,221141,Art Chang,1,0,False
28036,218491,Dianne Morales,3,0,True
28036,221183,Shaun Donovan,11,0,True
28037,217796,Andrew Yang,70,0,True
28037,217572,Eric L. Adams,55,89,True
28037,217605,Scott M. Stringer,16,0,True
28037,218117,Paperboy Love Prince,2,0,False
28037,219978,Kathryn A. Garcia,44,120,True
28037,219469,Maya D. Wiley,40,0,True
28037,218127,Raymond J. McGuire,3,0,True
28037,221141,Art Chang,1,0,False
28037,218491,Dianne Morales,5,0,True
28037,221183,Shaun Donovan,14,0,True
28038,217796,Andrew Yang,24,0,True
28038,217605,Scott M. Stringer,20,0,True
28038,219978,Kathryn A. Garcia,64,130,True
28038,219469,Maya D. Wiley,63,0,True
28038,218127,Raymond J. McGuire,7,0,True
28038,221141,Art Chang,3,0,False
28038,217572,Eric L. Adams,46,70,True
28038,218922,Joycelyn Taylor,1,0,False
28038,217654,Aaron S. Foldenauer,1,0,False
28038,218491,Dianne Morales,9,0,True
28038,221183,Shaun Donovan,8,0,True
28039,217796,Andrew Yang,37,0,True
28039,217605,Scott M. Stringer,25,0,True
28039,217572,Eric L. Adams,24,44,True
28039,218117,Paperboy Love Prince,1,0,False
28039,219978,Kathryn A. Garcia,62,114,True
28039,219469,Maya D. Wiley,29,0,True
28039,218127,Raymond J. McGuire,4,0,True
28039,218491,Dianne Morales,4,0,True
28039,221183,Shaun Donovan,6,0,True
28040,217796,Andrew Yang,44,0,True
28040,217605,Scott M. Stringer,16,0,True
28040,218117,Paperboy Love Prince,1,0,False
28040,219978,Kathryn A. Garcia,72,139,True
28040,219469,Maya D. Wiley,55,0,True
28040,218127,Raymond J. McGuire,7,0,True
28040,221458,Isaac Wright Jr.,1,0,False
28040,221141,Art Chang,1,0,False
28040,217572,Eric L. Adams,39,70,True
28040,218922,Joycelyn Taylor,1,0,False
28040,218491,Dianne Morales,5,0,True
28040,221183,Shaun Donovan,4,0,True
28041,217796,Andrew Yang,50,0,True
28041,217572,Eric L. Adams,44,59,True
28041,217605,Scott M. Stringer,15,0,True
28041,219978,Kathryn A. Garcia,42,94,True
28041,218922,Joycelyn Taylor,2,0,False
28041,219469,Maya D. Wiley,37,0,True
28041,218127,Raymond J. McGuire,4,0,True
28041,217654,Aaron S. Foldenauer,2,0,False
28041,218491,Dianne Morales,5,0,True
28041,221183,Shaun Donovan,7,0,True
28042,217796,Andrew Yang,45,0,True
28042,217605,Scott M. Stringer,25,0,True
28042,219978,Kathryn A. Garcia,59,122,True
28042,219469,Maya D. Wiley,40,0,True
28042,218127,Raymond J. McGuire,5,0,True
28042,221141,Art Chang,2,0,False
28042,217572,Eric L. Adams,49,85,True
28042,218922,Joycelyn Taylor,2,0,False
28042,217654,Aaron S. Foldenauer,1,0,False
28042,218491,Dianne Morales,3,0,True
28042,221183,Shaun Donovan,11,0,True
28043,217796,Andrew Yang,31,0,True
28043,217605,Scott M. Stringer,15,0,True
28043,218117,Paperboy Love Prince,2,0,False
28043,219978,Kathryn A. Garcia,67,118,True
28043,219469,Maya D. Wiley,39,0,True
28043,218127,Raymond J. McGuire,4,0,True
28043,221141,Art Chang,3,0,False
28043,217572,Eric L. Adams,40,66,True
28043,218922,Joycelyn Taylor,1,0,False
28043,218491,Dianne Morales,5,0,True
28043,221183,Shaun Donovan,5,0,True
28044,217796,Andrew Yang,37,0,True
28044,217572,Eric L. Adams,22,36,True
28044,217605,Scott M. Stringer,15,0,True
28044,219978,Kathryn A. Garcia,28,70,True
28044,219469,Maya D. Wiley,15,0,True
28044,218127,Raymond J. McGuire,3,0,True
28044,218491,Dianne Morales,2,0,True
28044,221183,Shaun Donovan,8,0,True
28045,217796,Andrew Yang,50,0,True
28045,217605,Scott M. Stringer,14,0,True
28045,218117,Paperboy Love Prince,1,0,False
28045,219978,Kathryn A. Garcia,58,119,True
28045,219469,Maya D. Wiley,26,0,True
28045,218127,Raymond J. McGuire,6,0,True
28045,221141,Art Chang,2,0,False
28045,217572,Eric L. Adams,40,60,True
28045,217654,Aaron S. Foldenauer,2,0,False
28045,218491,Dianne Morales,3,0,True
28045,221183,Shaun Donovan,9,0,True
28046,217796,Andrew Yang,39,0,True
28046,217572,Eric L. Adams,17,40,True
28046,217605,Scott M. Stringer,16,0,True
28046,219978,Kathryn A. Garcia,41,86,True
28046,219469,Maya D. Wiley,22,0,True
28046,218127,Raymond J. McGuire,2,0,True
28046,217654,Aaron S. Foldenauer,3,0,False
28046,218491,Dianne Morales,5,0,True
28046,221183,Shaun Donovan,8,0,True
28047,217796,Andrew Yang,55,0,True
28047,217572,Eric L. Adams,46,68,True
28047,217605,Scott M. Stringer,23,0,True
28047,219978,Kathryn A. Garcia,125,230,True
28047,218922,Joycelyn Taylor,2,0,False
28047,219469,Maya D. Wiley,48,0,True
28047,218127,Raymond J. McGuire,5,0,True
28047,221141,Art Chang,3,0,False
28047,218491,Dianne Morales,2,0,True
28047,221183,Shaun Donovan,12,0,True
28048,217796,Andrew Yang,54,0,True
28048,217605,Scott M. Stringer,33,0,True
28048,219978,Kathryn A. Garcia,129,208,True
28048,219469,Maya D. Wiley,23,0,True
28048,218127,Raymond J. McGuire,8,0,True
28048,221458,Isaac Wright Jr.,1,0,False
28048,221141,Art Chang,2,0,False
28048,217572,Eric L. Adams,54,81,True
28048,217654,Aaron S. Foldenauer,1,0,False
28048,218491,Dianne Morales,2,0,True
28048,221183,Shaun Donovan,14,0,True
28049,217796,Andrew Yang,52,0,True
28049,217572,Eric L. Adams,35,56,True
28049,217605,Scott M. Stringer,5,0,True
28049,218117,Paperboy Love Prince,3,0,False
28049,219978,Kathryn A. Garcia,33,91,True
28049,219469,Maya D. Wiley,30,0,True
28049,218127,Raymond J. McGuire,5,0,True
28049,221141,Art Chang,2,0,False
28049,218491,Dianne Morales,3,0,True
28049,221183,Shaun Donovan,5,0,True
28050,217572,Eric L. Adams,49,71,True
28050,217796,Andrew Yang,40,0,True
28050,217605,Scott M. Stringer,12,0,True
28050,219978,Kathryn A. Garcia,43,104,True
28050,219469,Maya D. Wiley,44,0,True
28050,218127,Raymond J. McGuire,0,0,True
28050,221458,Isaac Wright Jr.,1,0,False
28050,221141,Art Chang,2,0,False
28050,217654,Aaron S. Foldenauer,3,0,False
28050,218491,Dianne Morales,4,0,True
28050,221183,Shaun Donovan,10,0,True
28051,217796,Andrew Yang,50,0,True
28051,217605,Scott M. Stringer,14,0,True
28051,219978,Kathryn A. Garcia,33,78,True
28051,219469,Maya D. Wiley,26,0,True
28051,218127,Raymond J. McGuire,2,0,True
28051,221458,Isaac Wright Jr.,1,0,False
28051,221141,Art Chang,1,0,False
28051,217572,Eric L. Adams,39,67,True
28051,217654,Aaron S. Foldenauer,1,0,False
28051,218491,Dianne Morales,2,0,True
28051,221183,Shaun Donovan,9,0,True
28052,217572,Eric L. Adams,38,53,True
28052,217796,Andrew Yang,20,0,True
28052,217605,Scott M. Stringer,6,0,True
28052,218117,Paperboy Love Prince,1,0,False
28052,219978,Kathryn A. Garcia,11,20,True
28052,219469,Maya D. Wiley,8,0,True
28052,218127,Raymond J. McGuire,0,0,True
28052,221458,Isaac Wright Jr.,1,0,False
28052,217654,Aaron S. Foldenauer,1,0,False
28052,218491,Dianne Morales,0,0,True
28052,221183,Shaun Donovan,1,0,True
28053,217572,Eric L. Adams,41,55,True
28053,217796,Andrew Yang,38,0,True
28053,217605,Scott M. Stringer,9,0,True
28053,219978,Kathryn A. Garcia,23,49,True
28053,219469,Maya D. Wiley,19,0,True
28053,218127,Raymond J. McGuire,2,0,True
28053,218491,Dianne Morales,4,0,True
