ed,candidacy_id,name,first_choice,final_round,is_major
23032,9,William A. Pepitone,2,2,True
23033,1,Catherine Rojas,1,1,True
23033,2,Curtis A. Sliwa,20,20,True
23033,3,Eric L. Adams,168,168,True
23033,4,Fernando Mateo,0,0,False
23033,5,Quanda S. Francis,1,1,False
23033,6,Raja Michael Flores,0,0,False
23033,7,Skiboky Stora,0,0,False
23033,8,Stacey H. Prussman,0,0,False
23033,9,William A. Pepitone,2,2,True
23034,1,Catherine Rojas,1,1,True
23034,2,Curtis A. Sliwa,16,16,True
23034,3,Eric L. Adams,151,151,True
23034,4,Fernando Mateo,0,0,False
23034,5,Quanda S. Francis,0,0,False
23034,6,Raja Michael Flores,0,0,False
23034,7,Skiboky Stora,0,0,False
23034,8,Stacey H. Prussman,0,0,False
23034,9,William A. Pepitone,6,6,True
23035,1,Catherine Rojas,2,2,True
23035,2,Curtis A. Sliwa,44,44,True
23035,3,Eric L. Adams,160,160,True
23035,4,Fernando Mateo,0,0,False
23035,5,Quanda S. Francis,1,1,False
23035,6,Raja Michael Flores,0,0,False
23035,7,Skiboky Stora,0,0,False
23035,8,Stacey H. Prussman,2,2,False
23035,9,William A. Pepitone,2,2,True
23036,1,Catherine Rojas,2,2,True
23036,2,Curtis A. Sliwa,129,129,True
23036,3,Eric L. Adams,183,183,True
23036,4,Fernando Mateo,1,1,False
23036,5,Quanda S. Francis,0,0,False
23036,6,Raja Michael Flores,0,0,False
23036,7,Skiboky Stora,0,0,False
23036,8,Stacey H. Prussman,1,1,False
23036,9,William A. Pepitone,2,2,True
23037,1,Catherine Rojas,2,2,True
23037,2,Curtis A. Sliwa,119,119,True
23037,3,Eric L. Adams,208,208,True
23037,4,Fernando Mateo,2,2,False
23037,5,Quanda S. Francis,1,1,False
23037,6,Raja Michael Flores,0,0,False
23037,7,Skiboky Stora,0,0,False
23037,8,Stacey H. Prussman,2,2,False
23037,9,William A. Pepitone,9,9,True
23038,1,Catherine Rojas,0,0,True
23038,2,Curtis A. Sliwa,9,9,True
23038,3,Eric L. Adams,49,49,True
23038,4,Fernando Mateo,0,0,False
23038,5,Quanda S. Francis,1,1,False
23038,6,Raja Michael Flores,0,0,False
23038,7,Skiboky Stora,0,0,False
23038,8,Stacey H. Prussman,0,0,False
23038,9,William A. Pepitone,0,0,True
23039,1,Catherine Rojas,0,0,True
23039,2,Curtis A. Sliwa,139,139,True
23039,3,Eric L. Adams,236,236,True
23039,4,Fernando Mateo,0,0,False
23039,5,Quanda S. Francis,0,0,False
23039,6,Raja Michael Flores,0,0,False
23039,7,Skiboky Stora,0,0,False
23039,8,Stacey H. Prussman,0,0,False
23039,9,William A. Pepitone,1,1,True
23040,1,Catherine Rojas,4,4,True
23040,2,Curtis A. Sliwa,371,371,True
23040,3,Eric L. Adams,67,67,True
23040,4,Fernando Mateo,2,2,False
23040,5,Quanda S. Francis,1,1,False
23040,6,Raja Michael Flores,0,0,False
23040,7,Skiboky Stora,0,0,False
23040,8,Stacey H. Prussman,1,1,False
23040,9,William A. Pepitone,15,15,True
23041,1,Catherine Rojas,6,6,True
23041,2,Curtis A. Sliwa,307,307,True
23041,3,Eric L. Adams,51,51,True
23041,4,Fernando Mateo,0,0,False
23041,5,Quanda S. Francis,0,0,False
23041,6,Raja Michael Flores,0,0,False
23041,7,Skiboky Stora,0,0,False
23041,8,Stacey H. Prussman,1,1,False
23041,9,William A. Pepitone,10,10,True
23042,1,Catherine Rojas,1,1,True
23042,2,Curtis A. Sliwa,19,19,True
23042,3,Eric L. Adams,161,161,True
23042,4,Fernando Mateo,0,0,False
23042,5,Quanda S. Francis,1,1,False
23042,6,Raja Michael Flores,1,1,False
