ed,ballots,first_choice_total,final_round_active,first_winner_id,first_winner,first_winner_pct,final_winner_id,final_winner,final_winner_pct
48043,204,204,204,0,Curtis A. Sliwa,62.745098039215684,0,Curtis A. Sliwa,62.745098039215684
48044,127,127,127,0,Curtis A. Sliwa,50.39370078740157,0,Curtis A. Sliwa,50.39370078740157
48045,113,113,113,0,Curtis A. Sliwa,60.17699115044248,0,Curtis A. Sliwa,60.17699115044248
48046,171,171,171,0,Eric L. Adams,49.122807017543856,0,Eric L. Adams,49.122807017543856
48047,236,236,236,0,Curtis A. Sliwa,54.23728813559322,0,Curtis A. Sliwa,54.23728813559322
48048,209,209,209,0,Eric L. Adams,52.15311004784689,0,Eric L. Adams,52.15311004784689
48049,53,53,53,0,Curtis A. Sliwa,58.490566037735846,0,Curtis A. Sliwa,58.490566037735846
48050,134,134,134,0,Curtis A. Sliwa,59.70149253731343,0,Curtis A. Sliwa,59.70149253731343
48051,158,158,158,0,Curtis A. Sliwa,54.43037974683544,0,Curtis A. Sliwa,54.43037974683544
48052,219,219,219,0,Curtis A. Sliwa,52.96803652968036,0,Curtis A. Sliwa,52.96803652968036
48054,246,246,246,0,Curtis A. Sliwa,54.87804878048781,0,Curtis A. Sliwa,54.87804878048781
48055,274,274,274,0,Eric L. Adams,49.27007299270073,0,Eric L. Adams,49.27007299270073
48056,227,227,227,0,Eric L. Adams,51.10132158590308,0,Eric L. Adams,51.10132158590308
48057,68,68,68,0,Eric L. Adams,51.470588235294116,0,Eric L. Adams,51.470588235294116
48058,179,179,179,0,Eric L. Adams,50.83798882681564,0,Eric L. Adams,50.83798882681564
48059,264,264,264,0,Curtis A. Sliwa,62.121212121212125,0,Curtis A. Sliwa,62.121212121212125
48060,315,315,315,0,Curtis A. Sliwa,50.79365079365079,0,Curtis A. Sliwa,50.79365079365079
48061,237,237,237,0,Eric L. Adams,48.52320675105485,0,Eric L. Adams,48.52320675105485
48062,224,224,224,0,Eric L. Adams,47.32142857142857,0,Eric L. Adams,47.32142857142857
48063,230,230,230,0,Eric L. Adams,56.95652173913044,0,Eric L. Adams,56.95652173913044
48064,123,123,123,0,Eric L. Adams,56.09756097560976,0,Eric L. Adams,56.09756097560976
48065,165,165,165,0,Eric L. Adams,54.54545454545454,0,Eric L. Adams,54.54545454545454
48066,217,217,217,0,Curtis A. Sliwa,56.68202764976959,0,Curtis A. Sliwa,56.68202764976959
48067,53,53,53,0,Curtis A. Sliwa,66.0377358490566,0,Curtis A. Sliwa,66.0377358490566
48068,36,36,36,0,Curtis A. Sliwa,50.0,0,Curtis A. Sliwa,50.0
48069,20,20,20,0,Curtis A. Sliwa,70.0,0,Curtis A. Sliwa,70.0
48070,285,285,285,0,Curtis A. Sliwa,53.68421052631579,0,Curtis A. Sliwa,53.68421052631579
48071,100,100,100,0,Curtis A. Sliwa,49.0,0,Curtis A. Sliwa,49.0
48072,137,137,137,0,Eric L. Adams,47.44525547445255,0,Eric L. Adams,47.44525547445255
49001,150,150,150,0,Curtis A. Sliwa,52.0,0,Curtis A. Sliwa,52.0
49002,59,59,59,0,Curtis A. Sliwa,52.54237288135594,0,Curtis A. Sliwa,52.54237288135594
49003,69,69,69,0,Curtis A. Sliwa,47.82608695652174,0,Curtis A. Sliwa,47.82608695652174
